# Generated from the GREAT3 COSMOS sample with the following cuts:
# min_mask_dist_pixels in top 95%
# average_mask_adjacent_pixel_count in bottom 95% (these cuts remove bad masking cases)
# 'FIT_STATUS'[:,4] is not 0 or 5 (a Sersic fit failure)
# size < exp(5), which cuts out one anomalously large point remaining after previous cuts
size   N_z_div_sum_N
1.3492 0.012
1.3646 0.011
1.3799 0.011
1.3952 0.011
1.4105 0.011
1.4259 0.011
1.4412 0.011
1.4522 0.010
1.4632 0.010
1.4742 0.010
1.4851 0.010
1.4961 0.010
1.5071 0.010
1.5181 0.010
1.5291 0.010
1.5401 0.010
1.5510 0.010
1.5666 0.008
1.5821 0.008
1.5976 0.008
1.6132 0.008
1.6287 0.008
1.6413 0.007
1.6540 0.007
1.6666 0.007
1.6793 0.007
1.6920 0.007
1.7046 0.007
1.7169 0.006
1.7293 0.006
1.7416 0.006
1.7539 0.006
1.7663 0.006
1.7786 0.006
1.7909 0.006
1.8033 0.006
1.8156 0.006
1.8279 0.006
1.8403 0.006
1.8526 0.006
1.8650 0.006
1.8773 0.006
1.8896 0.006
1.9020 0.006
1.9143 0.006
1.9266 0.006
1.9390 0.006
1.9513 0.006
1.9636 0.006
1.9760 0.006
1.9883 0.006
2.0006 0.006
2.0130 0.006
2.0253 0.006
2.0376 0.006
2.0500 0.006
2.0623 0.006
2.0746 0.006
2.0870 0.006
2.0993 0.006
2.1116 0.006
2.1240 0.006
2.1363 0.006
2.1486 0.006
2.1610 0.006
2.1733 0.006
2.1856 0.006
2.1980 0.006
2.2103 0.006
2.2226 0.006
2.2350 0.006
2.2473 0.006
2.2596 0.006
2.2720 0.006
2.2843 0.006
2.2967 0.006
2.3090 0.006
2.3213 0.006
2.3337 0.006
2.3460 0.006
2.3583 0.006
2.3707 0.006
2.3830 0.006
2.3953 0.006
2.4077 0.006
2.4200 0.006
2.4330 0.005
2.4461 0.005
2.4591 0.005
2.4721 0.005
2.4852 0.005
2.4982 0.005
2.5112 0.005
2.5243 0.005
2.5373 0.005
2.5503 0.005
2.5626 0.004
2.5748 0.004
2.5870 0.004
2.5995 0.002
2.6121 0.002
2.6247 0.002
2.6373 0.002
2.6499 0.002
2.6625 0.002
2.6751 0.002
2.6877 0.002
2.7003 0.002
2.7129 0.002
2.7255 0.002
2.7381 0.002
2.7506 0.002
2.7632 0.002
2.7758 0.002
2.7884 0.002
2.8010 0.002
2.8136 0.002
2.8262 0.002
2.8388 0.002
2.8514 0.002
2.8640 0.002
2.8766 0.002
2.8891 0.002
2.9017 0.002
2.9143 0.002
2.9269 0.002
2.9395 0.002
2.9521 0.002
2.9647 0.002
2.9773 0.002
2.9899 0.002
3.0025 0.002
3.0151 0.002
3.0276 0.002
3.0402 0.002
3.0528 0.002
3.0654 0.002
3.0780 0.002
3.0906 0.002
3.1032 0.002
3.1158 0.002
3.1284 0.002
3.1410 0.002
3.1536 0.002
3.1662 0.002
3.1787 0.002
3.1913 0.002
3.2039 0.002
3.2165 0.002
3.2291 0.002
3.2417 0.002
3.2543 0.002
3.2669 0.002
3.2795 0.002
3.2921 0.002
3.3047 0.002
3.3172 0.002
3.3298 0.002
3.3424 0.002
3.3550 0.002
3.3676 0.002
3.3802 0.002
3.3928 0.002
3.4054 0.002
3.4180 0.002
3.4306 0.002
3.4432 0.002
3.4557 0.002
3.4683 0.002
3.4809 0.002
3.4935 0.002
3.5061 0.002
3.5187 0.002
3.5313 0.002
3.5439 0.002
3.5565 0.002
3.5691 0.002
3.5817 0.002
3.5943 0.002
3.6068 0.002
3.6194 0.002
3.6320 0.002
3.6446 0.002
3.6572 0.002
3.6698 0.002
3.6824 0.002
3.6950 0.002
3.7076 0.002
3.7202 0.002
3.7328 0.002
3.7454 0.001
3.7580 0.001
3.7706 0.001
3.7832 0.001
3.7958 0.001
3.8084 0.001
3.8210 0.001
3.8336 0.001
3.8462 0.001
3.8588 0.001
3.8714 0.001
3.8840 0.001
3.8966 0.001
3.9092 0.001
3.9218 0.001
3.9344 0.001
3.9470 0.001
3.9596 0.001
3.9722 0.001
3.9848 0.001
3.9974 0.001
4.0100 0.001
4.0226 0.001
4.0352 0.001
4.0478 0.001
4.0604 0.001
4.0730 0.001
4.0856 0.001
4.0982 0.001
4.1108 0.001
4.1234 0.001
4.1360 0.001
4.1486 0.001
4.1612 0.001
4.1738 0.001
4.1864 0.001
4.1990 0.001
4.2116 0.001
4.2242 0.001
4.2368 0.001
4.2494 0.001
4.2620 0.001
4.2746 0.001
4.2872 0.001
4.2998 0.001
4.3124 0.001
4.3250 0.001
4.3376 0.001
4.3502 0.001
4.3628 0.001
4.3754 0.001
4.3880 0.001
4.4006 0.001
4.4132 0.001
4.4258 0.001
4.4384 0.001
4.4510 0.001
4.4636 0.001
4.4762 0.001
4.4888 0.001
4.5014 0.001
4.5140 0.001
4.5266 0.001
4.5392 0.001
4.5518 0.001
4.5644 0.001
4.5770 0.001
4.5896 0.001
4.6022 0.001
4.6148 0.001
4.6274 0.001
4.6400 0.001
4.6526 0.001
4.6652 0.001
4.6778 0.001
4.6904 0.001
4.7030 0.001
4.7156 0.001
4.7282 0.001
4.7408 0.001
4.7534 0.001
4.7660 0.001
4.7786 0.001
4.7912 0.001
4.8038 0.001
4.8164 0.001
4.8290 0.001
4.8416 0.001
4.8542 0.001
4.8668 0.001
4.8794 0.001
4.8920 0.001
4.9046 0.001
4.9172 0.001
4.9298 0.001
4.9424 0.001
4.9550 0.001
4.9676 0.001
4.9802 0.001
4.9928 0.001
5.0054 0.001
5.0180 0.001
5.0306 0.001
5.0432 0.001
5.0558 0.001
5.0684 0.001
5.0810 0.001
5.0936 0.001
5.1062 0.001
5.1188 0.001
5.1314 0.001
5.1440 0.001
5.1566 0.001
5.1692 0.001
5.1818 0.001
5.1944 0.001
5.2070 0.001
5.2196 0.001
5.2322 0.001
5.2448 0.001
5.2574 0.001
5.2700 0.001
5.2826 0.001
5.2952 0.001
5.3078 0.001
5.3204 0.001
5.3330 0.001
5.3456 0.001
5.3582 0.001
5.3708 0.001
5.3834 0.001
5.3960 0.001
5.4086 0.001
5.4212 0.001
5.4339 0.001
5.4465 0.001
5.4591 0.001
5.4717 0.001
5.4843 0.001
5.4969 0.001
5.5095 0.001
5.5221 0.001
5.5347 0.001
5.5473 0.001
5.5599 0.001
5.5725 0.001
5.5851 0.001
5.5977 0.001
5.6103 0.001
5.6229 0.001
5.6355 0.001
5.6481 0.001
5.6607 0.001
5.6733 0.001
5.6859 0.001
5.6985 0.001
5.7111 0.001
5.7237 0.001
5.7363 0.001
5.7489 0.001
5.7615 0.001
5.7741 0.001
5.7867 0.001
5.7993 0.001
5.8119 0.001
5.8245 0.001
5.8371 0.001
5.8497 0.001
5.8623 0.001
5.8749 0.001
5.8875 0.001
5.9001 0.001
5.9127 0.001
5.9253 0.001
5.9379 0.001
5.9505 0.001
5.9631 0.001
5.9757 0.001
5.9883 0.001
6.0009 0.001
6.0135 0.001
6.0261 0.001
6.0387 0.001
6.0513 0.001
6.0639 0.001
6.0765 0.001
6.0891 0.001
6.1017 0.001
6.1143 0.001
6.1269 0.001
6.1395 0.001
6.1521 0.001
6.1647 0.001
6.1773 0.001
6.1899 0.001
6.2025 0.001
6.2151 0.001
6.2277 0.001
6.2403 0.001
6.2529 0.001
6.2655 0.001
6.2781 0.001
6.2907 0.001
6.3033 0.001
6.3159 0.001
6.3285 0.001
6.3411 0.001
6.3537 0.001
6.3663 0.001
6.3789 0.001
6.3915 0.001
6.4041 0.001
6.4167 0.001
6.4293 0.001
6.4419 0.001
6.4545 0.001
6.4671 0.001
6.4797 0.001
6.4923 0.001
6.5049 0.001
6.5175 0.001
6.5301 0.001
6.5427 0.001
6.5553 0.001
6.5679 0.001
6.5805 0.001
6.5931 0.001
6.6057 0.001
6.6183 0.001
6.6309 0.001
6.6435 0.001
6.6561 0.001
6.6687 0.001
6.6813 0.001
6.6939 0.001
6.7065 0.001
6.7191 0.001
6.7317 0.001
6.7443 0.001
6.7569 0.001
6.7695 0.001
6.7821 0.001
6.7947 0.001
6.8073 0.001
6.8199 0.001
6.8325 0.001
6.8451 0.001
6.8577 0.001
6.8703 0.001
6.8829 0.001
6.8955 0.001
6.9081 0.001
6.9207 0.001
6.9333 0.001
6.9459 0.001
6.9585 0.001
6.9711 0.001
6.9837 0.001
6.9963 0.001
7.0089 0.001
7.0215 0.001
7.0341 0.001
7.0467 0.001
7.0593 0.001
7.0719 0.001
7.0845 0.001
7.0971 0.001
7.1097 0.001
7.1223 0.001
7.1349 0.001
7.1475 0.001
7.1601 0.001
7.1727 0.001
7.1853 0.001
7.1979 0.001
7.2105 0.001
7.2231 0.001
7.2358 0.001
7.2484 0.001
7.2610 0.001
7.2736 0.001
7.2862 0.001
7.2988 0.001
7.3114 0.001
7.3240 0.001
7.3366 0.001
7.3492 0.001
7.3618 0.001
7.3744 0.001
7.3870 0.001
7.3996 0.001
7.4122 0.001
7.4248 0.001
7.4374 0.001
7.4500 0.001
7.4626 0.001
7.4752 0.001
7.4878 0.001
7.5004 0.001
7.5130 0.001
7.5256 0.001
7.5382 0.001
7.5508 0.001
7.5634 0.001
7.5760 0.001
7.5886 0.001
7.6012 0.001
7.6138 0.001
7.6264 0.001
7.6390 0.001
7.6516 0.001
7.6642 0.001
7.6768 0.001
7.6894 0.001
7.7020 0.001
7.7146 0.001
7.7272 0.001
7.7398 0.001
7.7524 0.001
7.7650 0.001
7.7776 0.001
7.7902 0.001
7.8028 0.001
7.8154 0.001
7.8280 0.001
7.8406 0.001
7.8532 0.001
7.8658 0.001
7.8784 0.001
7.8910 0.001
7.9036 0.001
7.9162 0.001
7.9288 0.001
7.9414 0.001
7.9540 0.001
7.9666 0.001
7.9792 0.001
7.9918 0.001
8.0044 0.001
8.0170 0.001
8.0296 0.001
8.0422 0.001
8.0548 0.001
8.0674 0.001
8.0800 0.001
8.0926 0.001
8.1052 0.001
8.1178 0.001
8.1304 0.001
8.1430 0.001
8.1556 0.001
8.1682 0.001
8.1808 0.001
8.1934 0.001
8.2060 0.001
8.2186 0.001
8.2312 0.001
8.2438 0.001
8.2564 0.001
8.2690 0.001
8.2816 0.001
8.2942 0.001
8.3068 0.001
8.3194 0.001
8.3320 0.001
8.3446 0.001
8.3572 0.001
8.3698 0.001
8.3824 0.001
8.3950 0.001
8.4076 0.001
8.4202 0.001
8.4328 0.001
8.4454 0.001
8.4580 0.001
8.4706 0.001
8.4832 0.001
8.4958 0.001
8.5084 0.001
8.5210 0.001
8.5336 0.001
8.5462 0.001
8.5588 0.001
8.5714 0.001
8.5840 0.001
8.5966 0.001
8.6092 0.001
8.6218 0.001
8.6344 0.001
8.6470 0.001
8.6596 0.001
8.6722 0.001
8.6848 0.001
8.6974 0.001
8.7100 0.001
8.7226 0.001
8.7352 0.001
8.7478 0.001
8.7604 0.001
8.7730 0.001
8.7856 0.001
8.7982 0.001
8.8108 0.001
8.8234 0.001
8.8360 0.001
8.8486 0.001
8.8612 0.001
8.8738 0.001
8.8864 0.001
8.8990 0.001
8.9116 0.001
8.9242 0.001
